City,AQI,Precipitation,GDP,Temperature,Altitude,PopulationDensity,Coastal,GreenCoverageRate%,Incineration(1W ton),Population (100000),EV Sales 2022
Shanghai Municipality,46,1651.5,24964.99,17.91643836,16,3804,1,34,613.85,247.59,335058
Beijing City,296,458.9,22968.6,13.77260274,31.2,1292,0,34,686.67,218.43,160046
Guangzhou City,20,2478.1,18100.41,23.60547945,18,5940,1,18.78,455.84,187.34,171090
HongKong SAR,37,2383,17900,22.8,321,25900,1,37,594.48,73.33,10200
Shenzhen City,37,1966,17502.99,24.4109589,1,5697,1,34.56,574.83,176.62,212800
Tianjin Municipality,121,574.4,16538.19,14.89863014,3.3,1298,1,34,421.66,136.3,105521
Chongqing Municipality,66,1450.9,15719.72,19.7260274,238,1904,0,40.3,440.03,321.33,114997
Suzhou City(Jiangsu),73,2055,14504.07,17.46986301,6,1251,0,34,214.33,129.11,118438
Chengdu City,118,873.3,10912.17,18.22191781,485,6116,0,39.84,273.55,212.68,165384
Wuhan City,128,1427.5,10905.06,17.15068493,15,4413,0,41.99,330.68,137.39,99724
Hangzhou City,103,2137.7,10053.58,17.90547945,19,3527,0,42.62,351.98,123.76,213195
Nanjing City,97,1768.9,9720.77,16.77260274,13,1462,0,38.5,238.68,94.91,81605
Qingdao City,65,720,9300.07,14.21369863,6,1723,1,42.9,184.97,103.42,58535
Wuxi City,69,2055,8518.26,18.25616438,5,1360,0,36,198.34,74.91,72597
Changsha City,76,1638.4,8510.13,18.50547945,63,2831,0,37.6,203.04,104.21,71981
Ningbo City,51,1651,8011.5,18.1630137,10,2444,1,39.16,111,96.18,78748
Foshan City,23,2055.2,8003.92,23.77260274,5,2469,0,43.73,93.84,95.52,86426
Dalian City,132,601.9,7700,12.40273973,29,2820,1,19.38,122.81,74.88,18977
Zhengzhou City,152,689.2,7315.19,15.98219178,110,15055,0,41.87,206.96,128.28,109015
Shenyang City,90,573.6,7280,9.183561644,51,640,0,36,31,91.47,27812
Yantai City,89,574,6446.08,13.8,4,1962,1,44.38,119.91,70.59,19401
Dongguan City,26,2137.9,6275.06,23.84931507,6,2417,0,36.98,390.43,104.37,75847
Tangshan City,166,547,6225.3,12.55890411,25.9,591,1,34,24,77.06,25210
Nantong City,55,684,6148.4,16.48767123,2,4082,1,42.97,59.88,77.44,38793
Quanzhou City,18,1775,6137.74,22.26438356,3,2410,1,44.42,51.4,88.79,30592
Jinan City,107,713.7,6130.68,15.58356164,148,2504,0,50.82,137.28,94.15,49726
Xi¡¯an city,113,558,5810.03,15.48493151,385,7820,0,42.62,332.34,129.96,92416
Harbin City,102,423.1,5751.2,5.836986301,118,11366,0,43.7,143.26,88.92,9532
Hefei City,99,1224.9,5660.3,17.125,38,3357,0,36.66,122.05,96.34,67276
Fuzhou City,37,1775.2,5618.1,21.41232877,10,2322,1,41.09,105.9,84.48,36209
Changchun City,106,530.5,5530.03,7.157534247,219,382,0,36,31,90.65,28901
New Taipei City,16,1775,5470.33,22,15,1935,1,41,24,40.25,6462
Shijiazhuang City,182,534.5,5440.6,14.8739726,80.5,681,0,36,31,112.24,49780
Taipei City,63,1775,5412.65,22.4,11,9952,1,41,351.93,275.42,18647
Xuzhou City,116,831.6,5319.88,15.50547945,36,770,0,36,31,901.85,34489
Changzhou City,116,1450.9,5273.15,16.9739726,3,2399,0,42.47,76.48,53.66,36219
Weifang City,146,288.3,5100,14.74931507,31,1082,0,42.04,47.43,94.18,26161
Wenzhou City,50,1742,4619.84,19.61506849,9,774,1,41,24,96.79,81773
Erdos City,61,348.3,4226.13,6.2,1311,2624,0,36.04,22.4,22.01,7637
Yancheng City,88,684,4212.5,15.73561644,1,496,1,44,24,66.9,13693
Zibo City,116,288,4130.2,14.57671233,38,782,0,36,31,47.06,23394
Kaohsiung City,68,1738,4095.28,24.2,9,941,1,44,136.24,29.47,4308
Yangzhou City,97,1742,4016.84,16.32876712,12,676,0,36,31,45.83,18780
Jining City,83,831,4013.12,13.85616438,39,1583,0,44.92,49.05,82.91,32299
Nanchang City,61,2207.3,4000.01,19.2109589,16,7536,0,44.09,63.69,65.38,31135
Kunming City,62,1189.5,3970,16.72054795,1930,2170,0,40.64,158.76,86,46557
Baotou City,45,262.9,3781.93,8.91369863,1065,2130,0,37,52.29,27.4,5785
Taichung City,30,2383,3774.95,22.5,90,1240,1,44,106,28.21,7000
Linyi City,157,672,3763.2,15.19452055,68,1633,1,44.93,86.2,109.93,31357
Taizhou City,70,1742,3655.53,18.89863014,8,801,0,36,29,66.78,57078
Jiaxing City,97,574,3517.06,17.26986301,4,3742,1,37.83,33.39,55.51,52428
Luoyang City,110,602.3,3508.75,15.5109589,147,7278,0,32.41,71.39,70.79,32583
Zhenjiang City,82,1224,3502.48,16.74931507,23,827,0,36,31,32.17,13114
Xiamen City,54,1775.2,3466.01,22.39315068,2,9685,1,41.36,161.56,530.8,44749
Dongying City,199,684.7,3450,14.82876712,2,617,1,34.61,22.32,22.09,9247
Nanning City,28,1229.4,3410.09,23.14109589,79,3411,0,36.76,107.44,88.92,65750
Jinhua City,59,1638,3406.5,18.80410959,43,1720,0,36.06,45.72,71.27,53160
Xiangyang City,118,672,3400,15.1,70,3099,0,41.18,34.33,52.76,8691
Yichang City,104,1651.5,3384.8,16.84931507,59,1709,0,39.91,31.43,39.2,10880
Shaoxing City,104,2127,3366.7,18.11506849,12,2935,0,48.33,82.02,53.53,29827
